feature,category,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty
Quiz,Kids,Vehicles,What vehicle flies in the sky?,Car,Train,Airplane,Boat,Airplane,easy
Quiz,Kids,Vehicles,What vehicle runs on tracks?,Bus,Train,Bicycle,Airplane,Train,easy
Quiz,Kids,Vehicles,What vehicle travels on water?,Car,Boat,Bicycle,Train,Boat,easy
Quiz,Kids,Vehicles,How many wheels does a bicycle have?,1,2,3,4,2,easy
Quiz,Kids,Vehicles,What vehicle do firefighters use?,Police car,Ambulance,Fire truck,Bus,Fire truck,easy
Quiz,Kids,Vehicles,Which vehicle has pedals?,Car,Bus,Bicycle,Train,Bicycle,easy
Quiz,Kids,Vehicles,What takes you to school?,School bus,Airplane,Boat,Train,School bus,easy
Quiz,Kids,Vehicles,How many wheels does a car usually have?,2,3,4,5,4,easy
Quiz,Kids,Vehicles,What vehicle helps sick people?,Police car,Fire truck,Ambulance,Bus,Ambulance,easy
Quiz,Kids,Vehicles,Which vehicle flies but has no wings?,Hot air balloon,Airplane,Helicopter,Rocket,Hot air balloon,easy
Quiz,Kids,Vehicles,What do police officers drive?,Ambulance,Fire truck,Police car,School bus,Police car,easy
Quiz,Kids,Vehicles,Which vehicle goes underwater?,Boat,Ship,Submarine,Airplane,Submarine,easy
Quiz,Kids,Vehicles,What has two wheels and an engine?,Bicycle,Motorcycle,Car,Scooter,Motorcycle,easy
Quiz,Kids,Vehicles,Which vehicle carries many passengers?,Bicycle,Bus,Motorcycle,Scooter,Bus,easy
Quiz,Kids,Vehicles,What vehicle do astronauts use?,Airplane,Helicopter,Rocket,Boat,Rocket,easy
Quiz,Kids,Vehicles,How many wheels does a tricycle have?,2,3,4,5,3,easy
Quiz,Kids,Vehicles,Which vehicle has propellers?,Car,Helicopter,Bus,Bicycle,Helicopter,easy
Quiz,Kids,Vehicles,What carries heavy loads on roads?,Pickup truck,Bicycle,Scooter,Motorcycle,Pickup truck,easy
Quiz,Kids,Vehicles,Which vehicle has sails?,Car,Ship,Train,Airplane,Ship,medium
Quiz,Kids,Vehicles,What vehicle delivers packages?,Mail truck,Fire truck,Ambulance,Police car,Mail truck,easy
Quiz,Kids,Vehicles,Which vehicle has wings?,Train,Car,Airplane,Boat,Airplane,easy
Quiz,Kids,Vehicles,What do you ride with a helmet on two wheels?,Car,Bicycle,Bus,Train,Bicycle,easy
Quiz,Kids,Vehicles,Which vehicle is pulled by horses?,Car,Carriage,Bus,Train,Carriage,medium
Quiz,Kids,Vehicles,What vehicle picks up garbage?,Garbage truck,Police car,Fire truck,Ambulance,Garbage truck,easy
Quiz,Kids,Vehicles,How many wheels does a unicycle have?,0,1,2,3,1,medium
Quiz,Kids,Vehicles,Which vehicle moves on snow?,Boat,Car,Snowmobile,Bicycle,Snowmobile,medium
Quiz,Kids,Vehicles,What vehicle has tracks instead of wheels?,Tank,Car,Bicycle,Boat,Tank,medium
Quiz,Kids,Vehicles,Which vehicle can travel on roads and water?,Car,Boat,Amphibious vehicle,Train,Amphibious vehicle,hard
Quiz,Kids,Vehicles,What construction vehicle has a big bucket?,Tractor,Excavator,Truck,Bus,Excavator,medium
Quiz,Kids,Vehicles,Which vehicle has a ladder?,Fire truck,Police car,Ambulance,School bus,Fire truck,easy
Quiz,Kids,Vehicles,What farm vehicle pulls other equipment?,Truck,Tractor,Car,Bus,Tractor,easy
Quiz,Kids,Vehicles,Which vehicle carries cement?,Fire truck,Cement mixer,Ambulance,Police car,Cement mixer,medium
Quiz,Kids,Vehicles,What vehicle has very big wheels?,Monster truck,Bicycle,Scooter,Motorcycle,Monster truck,easy
Quiz,Kids,Vehicles,Which vehicle flies without an engine?,Airplane,Glider,Helicopter,Rocket,Glider,hard
Quiz,Kids,Vehicles,What vehicle transports logs?,Logging truck,Fire truck,School bus,Ambulance,Logging truck,medium
Quiz,Kids,Vehicles,Which vehicle has a horn?,Car,Bicycle,Both,None,Both,medium
Quiz,Kids,Vehicles,What pulls a trailer?,Truck,Bicycle,Scooter,Boat,Truck,easy
Quiz,Kids,Vehicles,Which vehicle runs on electricity?,Bicycle,Electric car,Horse carriage,Sailing boat,Electric car,medium
Quiz,Kids,Vehicles,What vehicle crushes things on the road?,Steamroller,Fire truck,School bus,Police car,Steamroller,medium
Quiz,Kids,Vehicles,Which vehicle has seats in rows?,Bus,Bicycle,Motorcycle,Scooter,Bus,easy
Quiz,Kids,Vehicles,What vehicle transports cars?,Car carrier,School bus,Fire truck,Ambulance,Car carrier,medium
Quiz,Kids,Vehicles,Which vehicle has a big rotating part on top?,Helicopter,Airplane,Car,Train,Helicopter,easy
Quiz,Kids,Vehicles,What vehicle works at the airport to move planes?,Tow truck,Tug vehicle,Fire truck,Bus,Tug vehicle,hard
Quiz,Kids,Vehicles,Which vehicle has a crane?,Tow truck,Police car,School bus,Bicycle,Tow truck,medium
Quiz,Kids,Vehicles,What vehicle lifts heavy things?,Forklift,Car,Bicycle,Boat,Forklift,medium
Quiz,Kids,Vehicles,Which vehicle clears snow from roads?,Ambulance,Snow plow,Fire truck,School bus,Snow plow,medium
Quiz,Kids,Vehicles,What vehicle plants crops?,Tractor,Truck,Car,Bus,Tractor,medium
Quiz,Kids,Vehicles,Which vehicle has a basket underneath?,Hot air balloon,Airplane,Helicopter,Rocket,Hot air balloon,medium
Quiz,Kids,Vehicles,What racing vehicle goes very fast?,Race car,School bus,Tractor,Ambulance,Race car,easy
Quiz,Kids,Vehicles,Which vehicle travels in space?,Airplane,Helicopter,Spaceship,Boat,Spaceship,easy
