feature,category,subtopic,topic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty
Quiz,Kids,Birds & Insects,Nature,Which bird can talk like humans?,Parrot,Crow,Sparrow,Pigeon,Parrot,easy
Quiz,Kids,Birds & Insects,Nature,Which insect makes honey?,Ant,Bee,Spider,Butterfly,Bee,easy
Quiz,Kids,Birds & Insects,Nature,Which bird is pink?,Flamingo,Crow,Sparrow,Eagle,Flamingo,easy
Quiz,Kids,Birds & Insects,Nature,Which bird hoots at night?,Owl,Parrot,Peacock,Crow,Owl,easy
Quiz,Kids,Birds & Insects,Nature,Which insect has colorful wings?,Butterfly,Ant,Mosquito,Fly,Butterfly,easy
Quiz,Kids,Birds & Insects,Nature,Which bird is India's national bird?,Parrot,Peacock,Eagle,Sparrow,Peacock,easy
Quiz,Kids,Birds & Insects,Nature,Which insect builds anthills?,Ant,Bee,Spider,Butterfly,Ant,easy
Quiz,Kids,Birds & Insects,Nature,Which bird has a long neck?,Sparrow,Flamingo,Crow,Robin,Flamingo,medium
Quiz,Kids,Birds & Insects,Nature,Which insect spins a web?,Spider,Bee,Ant,Butterfly,Spider,easy
Quiz,Kids,Birds & Insects,Nature,Which bird cannot fly?,Parrot,Ostrich,Eagle,Crow,Ostrich,medium
Quiz,Kids,Birds & Insects,Nature,Which insect glows at night?,Ant,Firefly,Bee,Spider,Firefly,easy
Quiz,Kids,Birds & Insects,Nature,Which bird is the smallest?,Hummingbird,Eagle,Ostrich,Crow,Hummingbird,medium
Quiz,Kids,Birds & Insects,Nature,Which insect has six legs?,Spider,Bee,Centipede,Crab,Bee,medium
Quiz,Kids,Birds & Insects,Nature,Which bird has beautiful tail feathers?,Crow,Peacock,Sparrow,Robin,Peacock,easy
Quiz,Kids,Birds & Insects,Nature,Which insect can carry objects many times its weight?,Bee,Ant,Butterfly,Spider,Ant,medium
Quiz,Kids,Birds & Insects,Nature,Which bird is known for its wisdom?,Owl,Parrot,Crow,Sparrow,Owl,easy
Quiz,Kids,Birds & Insects,Nature,Which insect makes a buzzing sound?,Butterfly,Bee,Ant,Spider,Bee,easy
Quiz,Kids,Birds & Insects,Nature,Which bird builds nests on trees?,All birds,Only parrots,Only crows,No birds,All birds,easy
Quiz,Kids,Birds & Insects,Nature,Which insect goes through metamorphosis?,Ant,Butterfly,Spider,Beetle,Butterfly,medium
Quiz,Kids,Birds & Insects,Nature,Which bird is a symbol of peace?,Eagle,Dove,Crow,Parrot,Dove,easy
Quiz,Kids,Birds & Insects,Nature,Which insect lives in a hive?,Ant,Bee,Spider,Butterfly,Bee,easy
Quiz,Kids,Birds & Insects,Nature,Which bird has a red breast?,Crow,Robin,Parrot,Eagle,Robin,medium
Quiz,Kids,Birds & Insects,Nature,Which insect can be harmful and spread diseases?,Butterfly,Mosquito,Bee,Ladybug,Mosquito,easy
Quiz,Kids,Birds & Insects,Nature,Which bird is the fastest runner?,Sparrow,Ostrich,Parrot,Crow,Ostrich,medium
Quiz,Kids,Birds & Insects,Nature,Which insect helps flowers grow by pollination?,Spider,Bee,Ant,Fly,Bee,medium
Quiz,Kids,Birds & Insects,Nature,Which bird is known for stealing shiny objects?,Crow,Parrot,Sparrow,Robin,Crow,medium
Quiz,Kids,Birds & Insects,Nature,Which insect has hard wings?,Butterfly,Beetle,Bee,Mosquito,Beetle,medium
