id,question,category,options,correctAnswer,level
P1,Which language is used for Android app development?,programming,Java;Python;C++;Ruby,Java,easy
P2,Which keyword is used to define a class in Java?,programming,class;struct;define;object,class,easy
P3,Which symbol is used for comments in Python?,programming,#;//;/* */;--,#,easy
P4,Which data type is used for decimals in Java?,programming,int;float;char;boolean,float,easy
P5,What does HTML stand for?,programming,Hyper Text Markup Language;High Text Machine Language;Hyperlinks Text Machine;None,Hyper Text Markup Language,easy
P6,Python is a __ language.,programming,Compiled;Interpreted;Machine;Binary,Interpreted,easy
P7,Which operator is used for assignment?,programming,==;=;===;!=,=,easy
P8,Arrays in C start with index __.,programming,0;1;2;-1,0,easy
P9,Which keyword stops a loop?,programming,stop;end;break;quit,break,easy
P10,Which SQL statement is used to extract data?,programming,SELECT;UPDATE;INSERT;DELETE,SELECT,easy

P11,Which function prints output in Python?,programming,echo();print();write();printf(),print(),easy
P12,A variable inside a class but outside methods is called __.,programming,Global;Instance variable;Local variable;Constant,Instance variable,easy
P13,Which is NOT a programming language?,programming,Java;Python;HTML;C#,HTML,easy
P14,Which keyword is used for inheritance in Java?,programming,extends;inherits;implements;parent,extends,easy
P15,C language was developed by __.,programming,James Gosling;Guido van Rossum;Dennis Ritchie;Bjarne Stroustrup,Dennis Ritchie,easy
P16,Which data structure uses FIFO?,programming,Stack;Queue;Tree;Graph,Queue,easy
P17,SQL stands for __.,programming,Structured Query Language;Simple Query Logger;Sequential Query Line;System Query Language,Structured Query Language,easy
P18,Which operator is logical AND?,programming,&;&&;||;!,&&,easy
P19,Which of these is a loop?,programming,if;else;for;switch,for,easy
P20,Which datatype stores true/false?,programming,string;int;boolean;float,boolean,easy

P21,Which method is used to start a thread in Java?,programming,start();run();main();execute(),start(),medium
P22,Which memory stores local variables?,programming,Heap;Stack;Disk;Register,Stack,medium
P23,Python lists are enclosed in __.,programming,();{};[];<> ,[],medium
P24,Which notation is used to access array elements?,programming,();{};[];||,[],medium
P25,SQL JOIN is used to __.,programming,Merge databases;Combine rows;Delete tables;Sort data,Combine rows,medium
P26,What is OOPs full form?,programming,Object Oriented Programming System;Open Object Program;Operational Oriented Program;None,Object Oriented Programming System,medium
P27,Which concept hides internal details?,programming,Encapsulation;Polymorphism;Inheritance;Abstraction,Abstraction,medium
P28,Which is NOT a Java feature?,programming,Object-oriented;Robust;Platform dependent;Secure,Platform dependent,medium
P29,Which Python keyword is used to create a function?,programming,function;method;def;fun,def,medium
P30,Which DS uses LIFO?,programming,Queue;Stack;Graph;Tree,Stack,medium

P31,Which SQL command modifies existing data?,programming,ALTER;UPDATE;INSERT;SELECT,UPDATE,medium
P32,Which is immutable in Python?,programming,list;dict;set;tuple,tuple,medium
P33,Which pointer stores no memory address?,programming,Wild pointer;NULL pointer;Dangling pointer;None,NULL pointer,medium
P34,Time complexity of binary search is __.,programming,O(n);O(n^2);O(log n);O(1),O(log n),medium
P35,Which operator is used for comparison?,programming,=;==;&&;||,==,medium
P36,Which principle allows multiple forms?,programming,Encapsulation;Polymorphism;Inheritance;Overloading,Polymorphism,medium
P37,Constructor in Java has __.,programming,Return type;No return type;Multiple return types;None,no return type,medium
P38,Which SQL clause filters records?,programming,WHERE;ORDER BY;GROUP BY;DISTINCT,WHERE,medium
