feature,category,subtopic,topic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty
Quiz,Kids,Simple Math (Addition & Subtraction),Math,How much is 2 + 2?,3,4,5,6,4,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 5 - 3?,1,2,3,4,2,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 3 + 4?,5,6,7,8,7,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 4?,4,5,6,7,6,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 1 + 1?,1,2,3,4,2,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 - 5?,2,3,4,5,3,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 6 + 3?,7,8,9,10,9,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 7 - 2?,4,5,6,7,5,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 4 + 5?,7,8,9,10,9,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 - 4?,4,5,6,7,5,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 5 + 5?,8,9,10,11,10,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 6 - 3?,2,3,4,5,3,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 7 + 3?,8,9,10,11,10,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 5?,4,5,6,7,5,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 + 2?,9,10,11,12,10,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 - 3?,5,6,7,8,6,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 3 + 3?,5,6,7,8,6,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 7 - 4?,2,3,4,5,3,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 6 + 4?,8,9,10,11,10,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 - 3?,4,5,6,7,5,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 + 1?,9,10,11,12,10,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 2?,6,7,8,9,8,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 4 + 4?,6,7,8,9,8,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 - 5?,3,4,5,6,4,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 5 + 4?,7,8,9,10,9,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 7?,2,3,4,5,3,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 6 + 6?,10,11,12,13,12,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 - 6?,1,2,3,4,2,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 7 + 5?,10,11,12,13,12,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 - 6?,2,3,4,5,3,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 + 4?,10,11,12,13,12,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 8?,1,2,3,4,2,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 5 + 6?,9,10,11,12,11,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 7 - 5?,1,2,3,4,2,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 + 2?,10,11,12,13,11,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 3?,6,7,8,9,7,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 6 + 5?,9,10,11,12,11,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 - 4?,3,4,5,6,4,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 7 + 6?,11,12,13,14,13,medium
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 - 7?,1,2,3,4,2,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 + 5?,11,12,13,14,13,medium
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 6?,3,4,5,6,4,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 7 + 7?,12,13,14,15,14,medium
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 - 8?,0,1,2,3,1,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 + 6?,12,13,14,15,14,medium
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 9?,0,1,2,3,1,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 + 5?,12,13,14,15,14,medium
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 10 - 10?,0,1,2,3,0,easy
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 8 + 7?,13,14,15,16,15,medium
Quiz,Kids,Simple Math (Addition & Subtraction),Math,What is 9 + 9?,16,17,18,19,18,medium
