question,optionA,optionB,optionC,optionD,correctAnswer,category,difficulty
What color is the sky?,Blue,Green,Red,Yellow,Blue,kids,easy
How many legs does a dog have?,2,3,4,5,4,kids,easy
Which animal says Meow?,Dog,Cow,Cat,Sheep,Cat,kids,easy
Which fruit is red?,Apple,Banana,Grapes,Orange,Apple,kids,easy
How many days are in a week?,5,6,7,8,7,kids,easy
What shape is a ball?,Square,Triangle,Round,Rectangle,Round,kids,easy
Which animal is king of jungle?,Tiger,Elephant,Lion,Deer,Lion,kids,easy
What comes after 9?,10,11,8,12,10,kids,easy
Which one can fly?,Dog,Cat,Bird,Cow,Bird,kids,easy
Which color is banana?,Red,Blue,Yellow,Green,Yellow,kids,easy
How many eyes do humans have?,1,2,3,4,2,kids,easy
Which animal gives milk?,Dog,Cat,Cow,Lion,Cow,kids,easy
Which is a vegetable?,Apple,Carrot,Banana,Grapes,Carrot,kids,easy
Which is hot?,Ice,Fire,Water,Rain,Fire,kids,easy
What sound does a cow make?,Meow,Moo,Bark,Roar,Moo,kids,easy
How many wheels does a bicycle have?,1,2,3,4,2,kids,easy
Which animal has a long trunk?,Dog,Cat,Elephant,Horse,Elephant,kids,easy
Which fruit is yellow?,Apple,Mango,Grapes,Cherry,Mango,kids,easy
What color is grass?,Blue,Red,Green,Yellow,Green,kids,easy
Which is big?,Ant,Mouse,Elephant,Cat,Elephant,kids,easy
What comes before 5?,3,4,6,7,4,kids,easy
Which animal can swim?,Dog,Fish,Lion,Cow,Fish,kids,easy
Which is sweet?,Salt,Sugar,Chili,Lemon,Sugar,kids,easy
What do bees make?,Milk,Honey,Water,Juice,Honey,kids,easy
Which shape has 3 sides?,Circle,Square,Triangle,Rectangle,Triangle,kids,easy
Which animal barks?,Cat,Cow,Dog,Sheep,Dog,kids,easy
Which is cold?,Fire,Ice,Sun,Steam,Ice,kids,easy
Which fruit is orange?,Apple,Orange,Grapes,Banana,Orange,kids,easy
How many fingers on one hand?,3,4,5,6,5,kids,easy
Which animal jumps?,Snake,Frog,Cow,Dog,Frog,kids,easy
Which is round?,Box,Table,Ball,Book,Ball,kids,easy
What do birds have?,Hands,Legs,Wings,Tails,Wings,kids,easy
Which animal lives in water?,Dog,Cat,Fish,Goat,Fish,kids,easy
What color is snow?,White,Blue,Red,Green,White,kids,easy
Which animal is slow?,Tiger,Horse,Snail,Dog,Snail,kids,easy
What do we drink?,Sand,Water,Stone,Wood,Water,kids,easy
Which is tall?,Ant,Tree,Book,Pencil,Tree,kids,easy
Which animal says quack?,Dog,Cow,Duck,Cat,Duck,kids,easy
Which fruit has seeds?,Stone,Apple,Chair,Glass,Apple,kids,easy
What do plants need?,Toys,Sunlight,Music,Books,Sunlight,kids,easy
Which animal is small?,Elephant,Mouse,Horse,Cow,Mouse,kids,easy
What color is the sun?,Green,Blue,Yellow,Black,Yellow,kids,easy
Which animal runs fast?,Snail,Turtle,Cheetah,Dog,Cheetah,kids,easy
Which is soft?,Rock,Pillow,Table,Wall,Pillow,kids,easy
Which fruit is green?,Apple,Banana,Cherry,Grapes,Grapes,kids,easy
How many ears do humans have?,1,2,3,4,2,kids,easy
Which animal lives on farm?,Lion,Tiger,Cow,Bear,Cow,kids,easy
Which is heavy?,Feather,Stone,Paper,Leaf,Stone,kids,easy
Which fruit is sweet?,Lemon,Apple,Chili,Salt,Apple,kids,easy
Which animal has stripes?,Dog,Cat,Tiger,Cow,Tiger,kids,easy
Which is used to write?,Book,Pen,Chair,Plate,Pen,kids,easy
Which animal is wild?,Cow,Goat,Lion,Dog,Lion,kids,easy
Which color is apple?,Blue,Green,Red,Yellow,Red,kids,easy
Which is a bird?,Dog,Cat,Parrot,Cow,Parrot,kids,easy
Which animal has horns?,Dog,Goat,Cat,Horse,Goat,kids,easy
Which is hot in sky?,Moon,Sun,Star,Cloud,Sun,kids,easy
Which animal crawls?,Dog,Cat,Snake,Cow,Snake,kids,easy
Which fruit is juicy?,Apple,Orange,Bread,Cheese,Orange,kids,easy
Which is used to eat?,Pen,Spoon,Book,Chair,Spoon,kids,easy
Which animal has tail?,Fish,Dog,Cat,All,All,kids,easy
Which is a flower?,Rose,Tree,Grass,Leaf,Rose,kids,easy
Which animal lives in forest?,Cow,Dog,Lion,Goat,Lion,kids,easy
Which is a color?,Table,Chair,Red,Book,Red,kids,easy
Which animal has feathers?,Dog,Cat,Bird,Cow,Bird,kids,easy
Which is used to sleep?,Chair,Bed,Table,Door,Bed,kids,easy
Which fruit is sour?,Apple,Lemon,Mango,Grapes,Lemon,kids,easy
Which animal has long ears?,Dog,Rabbit,Cat,Horse,Rabbit,kids,easy
Which is a toy?,Ball,Stone,Knife,Plate,Ball,kids,easy
Which animal eats grass?,Lion,Dog,Cow,Cat,Cow,kids,easy
Which is light?,Stone,Feather,Book,Chair,Feather,kids,easy
Which animal has a shell?,Dog,Cat,Turtle,Horse,Turtle,kids,easy
Which is a vehicle?,Tree,Car,House,Dog,Car,kids,easy
Which animal can climb?,Fish,Cow,Monkey,Dog,Monkey,kids,easy
Which is used to see?,Ear,Nose,Eye,Hand,Eye,kids,easy
Which animal is pet?,Lion,Tiger,Dog,Bear,Dog,kids,easy
Which is sweet fruit?,Apple,Mango,Chili,Lemon,Mango,kids,easy
Which animal is big?,Cat,Dog,Elephant,Rabbit,Elephant,kids,easy
Which is a drink?,Water,Stone,Paper,Chair,Water,kids,easy
Which animal hops?,Dog,Frog,Cow,Cat,Frog,kids,easy
Which is round fruit?,Banana,Apple,Carrot,Potato,Apple,kids,easy
Which animal has mane?,Dog,Cat,Lion,Cow,Lion,kids,easy
Which number is missing: 2, 4, ?, 8, 10?,6,kids,hard
If you have 3 apples and give 1 away, how many left?,1,2,3,4,2,kids,hard
