id,question,category,options,correctAnswer,level
S1,What is 5 + 3?,students,6;7;8;9,8,easy
S2,Which is the largest planet?,students,Earth;Jupiter;Mars;Venus,Jupiter,easy
S3,What is the opposite of "big"?,students,Small;Huge;Tall;Wide,Small,easy
S4,How many days are in a year?,students,300;360;365;400,365,easy
S5,Which gas do humans breathe in?,students,Carbon dioxide;Oxygen;Hydrogen;Nitrogen,Oxygen,easy
S6,What is the boiling point of water?,students,50°C;100°C;150°C;200°C,100°C,easy
S7,Which of these is a noun?,students,Run;Happy;Apple;Quickly,Apple,easy
S8,Which animal is known as the “Ship of the Desert”?,students,Lion;Deer;Camel;Cow,Camel,easy
S9,What is H2O commonly known as?,students,Water;Salt;Sugar;Oxygen,Water,easy
S10,How many sides does a square have?,students,3;4;5;6,4,easy

S11,Which country is called “The Land of Rising Sun”?,students,India;Japan;China;Korea,Japan,medium
S12,What is the hardest natural substance?,students,Iron;Diamond;Gold;Silver,Diamond,medium
S13,Which organ pumps blood?,students,Brain;Heart;Lung;Liver,Heart,medium
S14,Which is the smallest prime number?,students,0;1;2;3,2,medium
S15,What do plants absorb from sunlight?,students,Chlorophyll;Energy;Oxygen;Sugar,Energy,medium
S16,Who wrote “Romeo and Juliet”?,students,Charles Dickens;William Shakespeare;Milton;Keats,William Shakespeare,medium
S17,Which metal is liquid at room temperature?,students,Iron;Mercury;Copper;Silver,Mercury,medium
S18,Which planet is closest to the Sun?,students,Earth;Venus;Mercury;Mars,Mercury,medium
S19,Which is the national bird of India?,students,Peacock;Sparrow;Eagle;Crow,Peacock,medium
S20,Which is the longest river in the world?,students,Nile;Amazon;Ganga;Yangtze,Nile,medium

S21,What is photosynthesis?,students,Process of breathing;Process of making food by plants;Growing roots;Making flowers,Process of making food by plants,medium
S22,Which angle is greater than 90°?,students,Acute;Right;Obtuse;Reflex,Obtuse,medium
S23,What is the chemical symbol for Gold?,students,Ag;Au;Gd;Go,Au,medium
S24,Which part of speech describes a noun?,students,Verb;Adjective;Adverb;Pronoun,Adjective,medium
S25,How many bones are in the adult human body?,students,106;206;306;406,206,medium
S26,What is the square root of 144?,students,10;11;12;14,12,medium
S27,Who painted the Mona Lisa?,students,Picasso;Leonardo da Vinci;Van Gogh;Michelangelo,Leonardo da Vinci,medium
S28,Which energy comes from the Sun?,students,Thermal;Solar;Wind;Nuclear,Solar,medium
S29,Which blood group is universal donor?,students,A;B;AB;O,O,medium
S30,What is the capital of Australia?,students,Sydney;Melbourne;Canberra;Perth,Canberra,medium

S31,Which gas is responsible for global warming?,students,Oxygen;Carbon dioxide;Nitrogen;Hydrogen,Carbon dioxide,medium
S32,Which is the main source of protein?,students,Rice;Dal;Sugar;Salt,Dal,medium
S33,What is the value of Pi (approx)?,students,2.14;3.14;4.14;5.14,3.14,medium
